Vehicle Type Desc,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bicycle,1256.0,1312.0,1384.0,1488.0,1496.0,1577.0,1427.0,1567.0,1615.0,1556.0,1334.0
Bus/Coach,106.0,133.0,125.0,153.0,123.0,168.0,133.0,137.0,127.0,136.0,99.0
Car,13395.0,13178.0,13640.0,13075.0,12846.0,13189.0,13088.0,13543.0,14672.0,12977.0,12204.0
Heavy Vehicle (Rigid) > 4.5 Tonnes,263.0,387.0,394.0,305.0,298.0,355.0,297.0,309.0,268.0,352.0,277.0
Horse (ridden or drawn),1.0,1.0,1.0,2.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0
Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,204.0,249.0,255.0,226.0,266.0,272.0,215.0,204.0,172.0,183.0,206.0
Mini Bus(9-13 seats),23.0,16.0,29.0,27.0,15.0,21.0,27.0,13.0,12.0,23.0,13.0
Moped,12.0,18.0,16.0,14.0,14.0,19.0,15.0,16.0,20.0,16.0,25.0
Motor Cycle,1818.0,1951.0,2076.0,1963.0,1759.0,1817.0,1816.0,1969.0,2073.0,2077.0,1888.0
Motor Scooter,54.0,118.0,143.0,137.0,145.0,131.0,112.0,126.0,111.0,109.0,104.0
Not Applicable,2.0,2.0,1.0,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0
Other Vehicle,73.0,85.0,79.0,70.0,54.0,59.0,62.0,71.0,58.0,22.0,47.0
Panel Van,621.0,533.0,526.0,530.0,508.0,499.0,581.0,541.0,564.0,542.0,540.0
Parked trailers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,10.0,3.0
Plant machinery and Agricultural equipment,0.0,0.0,0.0,0.0,0.0,1.0,10.0,14.0,23.0,23.0,14.0
Prime Mover (No of Trailers Unknown),342.0,292.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Prime Mover - Single Trailer,2.0,1.0,241.0,209.0,218.0,214.0,232.0,199.0,214.0,220.0,170.0
Prime Mover B-Double,0.0,1.0,76.0,78.0,96.0,96.0,102.0,94.0,65.0,92.0,75.0
Prime Mover B-Triple,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Prime Mover Only,11.0,13.0,21.0,26.0,32.0,43.0,40.0,51.0,51.0,39.0,56.0
Quad Bike,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,21.0,9.0,14.0
Rigid Truck(Weight Unknown),93.0,33.0,20.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Station Wagon,3105.0,3168.0,3331.0,3324.0,3541.0,3659.0,3795.0,3102.0,2776.0,4494.0,4517.0
Taxi,311.0,363.0,389.0,350.0,321.0,319.0,291.0,306.0,325.0,255.0,210.0
Train,15.0,5.0,9.0,5.0,3.0,6.0,12.0,6.0,5.0,3.0,5.0
Tram,53.0,74.0,82.0,76.0,80.0,69.0,53.0,54.0,40.0,71.0,37.0
Unknown,209.0,180.0,185.0,160.0,171.0,257.0,458.0,542.0,563.0,619.0,447.0
Utility,1487.0,1524.0,1565.0,1674.0,1796.0,1805.0,1914.0,1808.0,1794.0,2170.0,2043.0
